,predictions,top_1,top_5,title,image_id,scan_id,too_difficult,unusable,annotated_on,annotator_id,annotated_label,checked_on,validator_id,corrected_label,toelichting,gebruiker_id
7142,"{'bouwplaats': 0.05, 'borden_gevelsteen': 0.06, 'brand': 0.07, 'gebouw': 0.2, 'straat': 0.28}",straat,"['bouwplaats', 'borden_gevelsteen', 'brand', 'gebouw', 'straat']",NL-HlmNHA_1478_12497K00_12,80152,50160,0,0,2022-08-13 11:13:26,21351,no_description_found,2022-08-13 12:03:45,1,no_description_found,,
7143,"{'bouwplaats': 0.05, 'borden_gevelsteen': 0.06, 'brand': 0.07, 'gebouw': 0.2, 'straat': 0.28}",straat,"['bouwplaats', 'borden_gevelsteen', 'brand', 'gebouw', 'straat']",NL-HlmNHA_1478_12497K00_12,80152,50160,0,0,2022-08-13 12:03:45,21385,no_description_found,2022-08-13 12:03:45,1,no_description_found,,
7418,"{'groepsportret': 0.05, 'straat': 0.06, 'bus_truck': 0.07, 'bouwplaats': 0.14, 'brand': 0.17}",brand,"['groepsportret', 'straat', 'bus_truck', 'bouwplaats', 'brand']",NL-HlmNHA_1478_14871K00_04,80254,50262,0,0,2022-08-13 17:15:13,5933,no_description_found,2022-08-14 11:44:14,13945,no_description_found,,
7419,"{'groepsportret': 0.05, 'straat': 0.06, 'bus_truck': 0.07, 'bouwplaats': 0.14, 'brand': 0.17}",brand,"['groepsportret', 'straat', 'bus_truck', 'bouwplaats', 'brand']",NL-HlmNHA_1478_14871K00_04,80254,50262,0,0,2022-08-14 10:43:01,17916,brand,2022-08-14 11:44:14,13945,no_description_found,,
7508,"{'schaken_dammen': 0.03, 'demonstratie': 0.03, 'gymnastiek': 0.05, 'sport_overig': 0.26, 'straat': 0.39}",straat,"['schaken_dammen', 'demonstratie', 'gymnastiek', 'sport_overig', 'straat']",NL-HlmNHA_1478_15691K00_03,80287,50295,0,0,2022-08-13 19:03:59,5933,no_description_found,2022-08-14 11:46:53,13945,no_description_found,,
7509,"{'schaken_dammen': 0.03, 'demonstratie': 0.03, 'gymnastiek': 0.05, 'sport_overig': 0.26, 'straat': 0.39}",straat,"['schaken_dammen', 'demonstratie', 'gymnastiek', 'sport_overig', 'straat']",NL-HlmNHA_1478_15691K00_03,80287,50295,0,0,2022-08-14 11:01:45,17916,straat,2022-08-14 11:46:53,13945,no_description_found,,
7672,"{'bos_park': 0.02, 'plattegrond': 0.02, 'kunstwerk': 0.19, 'borden_gevelsteen': 0.28, 'demonstratie': 0.36}",demonstratie,"['bos_park', 'plattegrond', 'kunstwerk', 'borden_gevelsteen', 'demonstratie']",NL-HlmNHA_1478_17702K00_12,80356,50364,0,0,2022-08-14 11:24:44,21351,no_description_found,2022-08-14 12:50:56,13945,no_description_found,,
7673,"{'bos_park': 0.02, 'plattegrond': 0.02, 'kunstwerk': 0.19, 'borden_gevelsteen': 0.28, 'demonstratie': 0.36}",demonstratie,"['bos_park', 'plattegrond', 'kunstwerk', 'borden_gevelsteen', 'demonstratie']",NL-HlmNHA_1478_17702K00_12,80356,50364,0,0,2022-08-14 12:50:02,21385,borden_gevelsteen,2022-08-14 12:50:56,13945,no_description_found,,
7726,"{'fietsende_mensen': 0.02, 'schaatsen': 0.04, 'paard': 0.07, 'sport_overig': 0.11, 'straat': 0.46}",straat,"['fietsende_mensen', 'schaatsen', 'paard', 'sport_overig', 'straat']",NL-HlmNHA_1478_18063K00_36,80375,50383,0,0,2022-08-14 11:29:58,21351,no_description_found,2022-08-14 15:07:31,13945,no_description_found,,
7727,"{'fietsende_mensen': 0.02, 'schaatsen': 0.04, 'paard': 0.07, 'sport_overig': 0.11, 'straat': 0.46}",straat,"['fietsende_mensen', 'schaatsen', 'paard', 'sport_overig', 'straat']",NL-HlmNHA_1478_18063K00_36,80375,50383,0,0,2022-08-14 12:26:18,21385,demonstratie,2022-08-14 15:07:31,13945,no_description_found,,
7780,"{'sport_overig': 0.01, 'winkel_binnen': 0.03, 'motorfiets': 0.04, 'mensenmassa': 0.06, 'markt': 0.72}",markt,"['sport_overig', 'winkel_binnen', 'motorfiets', 'mensenmassa', 'markt']",NL-HlmNHA_1478_18447K00_13,80396,50404,0,0,2022-08-14 11:36:39,21351,no_description_found,2022-08-14 12:08:15,1,no_description_found,,
7781,"{'sport_overig': 0.01, 'winkel_binnen': 0.03, 'motorfiets': 0.04, 'mensenmassa': 0.06, 'markt': 0.72}",markt,"['sport_overig', 'winkel_binnen', 'motorfiets', 'mensenmassa', 'markt']",NL-HlmNHA_1478_18447K00_13,80396,50404,0,0,2022-08-14 12:08:15,13945,no_description_found,2022-08-14 12:08:15,1,no_description_found,,
7820,"{'tentoonstelling': 0.03, 'dieren_overig': 0.05, 'schaken_dammen': 0.08, 'strand': 0.2, 'portret': 0.43}",portret,"['tentoonstelling', 'dieren_overig', 'schaken_dammen', 'strand', 'portret']",NL-HlmNHA_1478_19106K00_36,80416,50424,0,0,2022-08-14 11:42:11,21351,no_description_found,2022-08-14 12:04:37,1,no_description_found,,
7821,"{'tentoonstelling': 0.03, 'dieren_overig': 0.05, 'schaken_dammen': 0.08, 'strand': 0.2, 'portret': 0.43}",portret,"['tentoonstelling', 'dieren_overig', 'schaken_dammen', 'strand', 'portret']",NL-HlmNHA_1478_19106K00_36,80416,50424,0,0,2022-08-14 12:04:37,13945,no_description_found,2022-08-14 12:04:37,1,no_description_found,,
7990,"{'sinterklaas': 0.04, 'auto_ongeluk': 0.05, 'winkel_binnen': 0.12, 'bouwplaats': 0.22, 'markt': 0.37}",markt,"['sinterklaas', 'auto_ongeluk', 'winkel_binnen', 'bouwplaats', 'markt']",NL-HlmNHA_1478_21256K00_14,80481,50489,0,0,2022-08-14 15:46:14,10357,no_description_found,2022-08-18 17:03:34,1,no_description_found,,
7991,"{'sinterklaas': 0.04, 'auto_ongeluk': 0.05, 'winkel_binnen': 0.12, 'bouwplaats': 0.22, 'markt': 0.37}",markt,"['sinterklaas', 'auto_ongeluk', 'winkel_binnen', 'bouwplaats', 'markt']",NL-HlmNHA_1478_21256K00_14,80481,50489,0,0,2022-08-18 17:03:34,13212,no_description_found,2022-08-18 17:03:34,1,no_description_found,,
8072,"{'standbeeld': 0.05, 'sport_overig': 0.05, 'bouwplaats': 0.06, 'bos_park': 0.15, 'straat': 0.52}",straat,"['standbeeld', 'sport_overig', 'bouwplaats', 'bos_park', 'straat']",NL-HlmNHA_1478_22157K00_16,80515,50523,1,0,2022-08-14 19:00:53,5933,no_description_found,2022-08-15 11:16:09,1,no_description_found,,
8073,"{'standbeeld': 0.05, 'sport_overig': 0.05, 'bouwplaats': 0.06, 'bos_park': 0.15, 'straat': 0.52}",straat,"['standbeeld', 'sport_overig', 'bouwplaats', 'bos_park', 'straat']",NL-HlmNHA_1478_22157K00_16,80515,50523,1,0,2022-08-15 11:16:09,21351,no_description_found,2022-08-15 11:16:09,1,no_description_found,,
8190,"{'etalage': 0.03, 'toren': 0.03, 'bus_truck': 0.05, 'straat': 0.11, 'borden_gevelsteen': 0.6000000000000001}",borden_gevelsteen,"['etalage', 'toren', 'bus_truck', 'straat', 'borden_gevelsteen']",NL-HlmNHA_1478_23153K00_18,80561,50569,1,0,2022-08-14 21:26:48,5933,no_description_found,2022-08-15 16:12:13,1,no_description_found,,
8191,"{'etalage': 0.03, 'toren': 0.03, 'bus_truck': 0.05, 'straat': 0.11, 'borden_gevelsteen': 0.6000000000000001}",borden_gevelsteen,"['etalage', 'toren', 'bus_truck', 'straat', 'borden_gevelsteen']",NL-HlmNHA_1478_23153K00_18,80561,50569,1,0,2022-08-15 16:12:13,13945,no_description_found,2022-08-15 16:12:13,1,no_description_found,,
8196,"{'vijver_plas': 0.05, 'opgraving': 0.06, 'bos_park': 0.09, 'kunstwerk': 0.09, 'straat': 0.27}",straat,"['vijver_plas', 'opgraving', 'bos_park', 'kunstwerk', 'straat']",NL-HlmNHA_1478_23212K00_30,80564,50572,1,0,2022-08-14 21:29:09,5933,no_description_found,2022-08-15 18:33:46,13945,no_description_found,,
8197,"{'vijver_plas': 0.05, 'opgraving': 0.06, 'bos_park': 0.09, 'kunstwerk': 0.09, 'straat': 0.27}",straat,"['vijver_plas', 'opgraving', 'bos_park', 'kunstwerk', 'straat']",NL-HlmNHA_1478_23212K00_30,80564,50572,1,0,2022-08-15 17:26:39,13212,straat,2022-08-15 18:33:46,13945,no_description_found,,
8286,"{'speech': 0.04, 'woonkamer': 0.04, 'klaslokaal': 0.14, 'muziek_optreden': 0.19, 'cafe': 0.4}",cafe,"['speech', 'woonkamer', 'klaslokaal', 'muziek_optreden', 'cafe']",NL-HlmNHA_1478_23814K00_15,80596,50604,1,0,2022-08-15 17:30:43,13212,no_description_found,2022-08-19 17:51:08,13945,no_description_found,,
8287,"{'speech': 0.04, 'woonkamer': 0.04, 'klaslokaal': 0.14, 'muziek_optreden': 0.19, 'cafe': 0.4}",cafe,"['speech', 'woonkamer', 'klaslokaal', 'muziek_optreden', 'cafe']",NL-HlmNHA_1478_23814K00_15,80596,50604,1,0,2022-08-19 14:34:56,21510,muziek_optreden,2022-08-19 17:51:08,13945,no_description_found,,
8448,"{'bloemen': 0.02, 'standbeeld': 0.05, 'portret': 0.09, 'kunstwerk': 0.26, 'dieren_overig': 0.29}",dieren_overig,"['bloemen', 'standbeeld', 'portret', 'kunstwerk', 'dieren_overig']",NL-HlmNHA_1478_25262K01_25,80658,50666,1,0,2022-08-15 16:30:51,21510,dieren_overig,2022-08-15 18:36:27,13945,no_description_found,Larve uit een plant of stuk fruit.,21510.0
8449,"{'bloemen': 0.02, 'standbeeld': 0.05, 'portret': 0.09, 'kunstwerk': 0.26, 'dieren_overig': 0.29}",dieren_overig,"['bloemen', 'standbeeld', 'portret', 'kunstwerk', 'dieren_overig']",NL-HlmNHA_1478_25262K01_25,80658,50666,1,0,2022-08-15 17:29:24,13212,bloemen,2022-08-15 18:36:27,13945,no_description_found,Larve uit een plant of stuk fruit.,21510.0
8458,"{'haven': 0.04, 'bouwplaats': 0.05, 'trein_ongeluk': 0.1, 'brand': 0.11, 'toren': 0.39}",toren,"['haven', 'bouwplaats', 'trein_ongeluk', 'brand', 'toren']",NL-HlmNHA_1478_25306K00_36,80662,50670,1,0,2022-08-15 17:37:12,21510,no_description_found,2022-08-15 17:45:22,1,no_description_found,Ballonvaren,21510.0
8459,"{'haven': 0.04, 'bouwplaats': 0.05, 'trein_ongeluk': 0.1, 'brand': 0.11, 'toren': 0.39}",toren,"['haven', 'bouwplaats', 'trein_ongeluk', 'brand', 'toren']",NL-HlmNHA_1478_25306K00_36,80662,50670,1,0,2022-08-15 17:45:22,13212,no_description_found,2022-08-15 17:45:22,1,no_description_found,Ballonvaren,21510.0
8490,"{'groepsportret': 0.01, 'borden_gevelsteen': 0.01, 'bloemen': 0.04, 'tentoonstelling': 0.09, 'kunstwerk': 0.8200000000000001}",kunstwerk,"['groepsportret', 'borden_gevelsteen', 'bloemen', 'tentoonstelling', 'kunstwerk']",NL-HlmNHA_1478_25503K01_02,80676,50684,0,0,2022-08-15 09:52:55,16668,kunstwerk,2022-08-15 18:38:37,13945,no_description_found,,
8491,"{'groepsportret': 0.01, 'borden_gevelsteen': 0.01, 'bloemen': 0.04, 'tentoonstelling': 0.09, 'kunstwerk': 0.8200000000000001}",kunstwerk,"['groepsportret', 'borden_gevelsteen', 'bloemen', 'tentoonstelling', 'kunstwerk']",NL-HlmNHA_1478_25503K01_02,80676,50684,0,0,2022-08-15 16:32:13,21510,no_description_found,2022-08-15 18:38:37,13945,no_description_found,,
8550,"{'sneeuwlandschap': 0.05, 'brug': 0.05, 'bos_park': 0.17, 'straat': 0.25, 'gebouw': 0.26}",gebouw,"['sneeuwlandschap', 'brug', 'bos_park', 'straat', 'gebouw']",NL-HlmNHA_1478_25936K00_28,80698,50706,1,0,2022-08-15 17:36:15,21510,bouwplaats,2022-08-15 18:39:10,13945,no_description_found,,
8551,"{'sneeuwlandschap': 0.05, 'brug': 0.05, 'bos_park': 0.17, 'straat': 0.25, 'gebouw': 0.26}",gebouw,"['sneeuwlandschap', 'brug', 'bos_park', 'straat', 'gebouw']",NL-HlmNHA_1478_25936K00_28,80698,50706,1,0,2022-08-15 17:44:22,13212,straat,2022-08-15 18:39:10,13945,no_description_found,,
8560,"{'portret': 0.03, 'groepsportret': 0.05, 'bouwplaats': 0.07, 'markt': 0.08, 'straat': 0.34}",straat,"['portret', 'groepsportret', 'bouwplaats', 'markt', 'straat']",NL-HlmNHA_1478_26014K00_29,80705,50713,1,0,2022-08-15 11:14:58,21351,schaatsen,2022-08-15 18:39:39,13945,no_description_found,Jongeman door ijs gezakt.,21510.0
8561,"{'portret': 0.03, 'groepsportret': 0.05, 'bouwplaats': 0.07, 'markt': 0.08, 'straat': 0.34}",straat,"['portret', 'groepsportret', 'bouwplaats', 'markt', 'straat']",NL-HlmNHA_1478_26014K00_29,80705,50713,1,0,2022-08-15 17:32:24,21510,portret,2022-08-15 18:39:39,13945,no_description_found,Jongeman door ijs gezakt.,21510.0
9124,"{'huisje': 0.01, 'strand': 0.01, 'bos_park': 0.02, 'bouwplaats': 0.04, 'akker': 0.87}",akker,"['huisje', 'strand', 'bos_park', 'bouwplaats', 'akker']",NL-HlmNHA_1478_30080K00_09,71415,41423,0,0,2022-07-06 14:16:14,22659,bos_park,2022-07-07 18:48:03,21510,no_description_found,Hout van boom aan het versnipperen,21510.0
9125,"{'huisje': 0.01, 'strand': 0.01, 'bos_park': 0.02, 'bouwplaats': 0.04, 'akker': 0.87}",akker,"['huisje', 'strand', 'bos_park', 'bouwplaats', 'akker']",NL-HlmNHA_1478_30080K00_09,71415,41423,0,0,2022-07-06 14:33:58,23655,bus_truck,2022-07-07 18:48:03,21510,no_description_found,Hout van boom aan het versnipperen,21510.0
9158,"{'etalage': 0.06, 'fabriek': 0.07, 'tentoonstelling': 0.08, 'brand': 0.14, 'borden_gevelsteen': 0.15}",borden_gevelsteen,"['etalage', 'fabriek', 'tentoonstelling', 'brand', 'borden_gevelsteen']",NL-HlmNHA_1478_30663K00_05,71428,41436,0,0,2022-07-06 14:19:50,22659,tentoonstelling,2022-07-07 19:01:31,21510,no_description_found,"Nieuwe bouwmarkt klaar, Wickes",21510.0
9159,"{'etalage': 0.06, 'fabriek': 0.07, 'tentoonstelling': 0.08, 'brand': 0.14, 'borden_gevelsteen': 0.15}",borden_gevelsteen,"['etalage', 'fabriek', 'tentoonstelling', 'brand', 'borden_gevelsteen']",NL-HlmNHA_1478_30663K00_05,71428,41436,0,0,2022-07-06 14:32:10,23655,no_description_found,2022-07-07 19:01:31,21510,no_description_found,"Nieuwe bouwmarkt klaar, Wickes",21510.0
9160,"{'zwaan': 0.03, 'borden_gevelsteen': 0.05, 'optocht': 0.05, 'demonstratie': 0.2, 'straat': 0.45}",straat,"['zwaan', 'borden_gevelsteen', 'optocht', 'demonstratie', 'straat']",NL-HlmNHA_1478_30708K00_15,71429,41437,0,0,2022-07-06 14:20:03,22659,demonstratie,2022-07-07 19:03:29,21510,no_description_found,Presentatie nieuw Uitzendbureau op het stationsplein van Haarlem,21510.0
9161,"{'zwaan': 0.03, 'borden_gevelsteen': 0.05, 'optocht': 0.05, 'demonstratie': 0.2, 'straat': 0.45}",straat,"['zwaan', 'borden_gevelsteen', 'optocht', 'demonstratie', 'straat']",NL-HlmNHA_1478_30708K00_15,71429,41437,0,0,2022-07-06 14:25:11,23655,no_description_found,2022-07-07 19:03:29,21510,no_description_found,Presentatie nieuw Uitzendbureau op het stationsplein van Haarlem,21510.0
9166,"{'wielrennen': 0.04, 'straat': 0.06, 'terras': 0.17, 'groepsportret': 0.21, 'fietsende_mensen': 0.26}",fietsende_mensen,"['wielrennen', 'straat', 'terras', 'groepsportret', 'fietsende_mensen']",NL-HlmNHA_1478_30730K00_26,71431,41439,0,0,2022-07-06 14:20:46,22659,fietsende_mensen,2022-07-07 19:05:21,21510,no_description_found,Jongenlui een kaartspel o straat aan het doen,21510.0
9167,"{'wielrennen': 0.04, 'straat': 0.06, 'terras': 0.17, 'groepsportret': 0.21, 'fietsende_mensen': 0.26}",fietsende_mensen,"['wielrennen', 'straat', 'terras', 'groepsportret', 'fietsende_mensen']",NL-HlmNHA_1478_30730K00_26,71431,41439,0,0,2022-07-06 14:39:35,23655,kaartspel,2022-07-07 19:05:21,21510,no_description_found,Jongenlui een kaartspel o straat aan het doen,21510.0
9168,"{'dieren_overig': 0.05, 'uitreiking_huldiging': 0.08, 'sport_overig': 0.09, 'groepsportret': 0.16, 'straat': 0.17}",straat,"['dieren_overig', 'uitreiking_huldiging', 'sport_overig', 'groepsportret', 'straat']",NL-HlmNHA_1478_30730K00_15,71430,41438,0,0,2022-07-06 14:20:36,22659,groepsportret,2022-07-07 19:04:37,21510,no_description_found,naar elkaar gooien van taartjes,21510.0
9169,"{'dieren_overig': 0.05, 'uitreiking_huldiging': 0.08, 'sport_overig': 0.09, 'groepsportret': 0.16, 'straat': 0.17}",straat,"['dieren_overig', 'uitreiking_huldiging', 'sport_overig', 'groepsportret', 'straat']",NL-HlmNHA_1478_30730K00_15,71430,41438,0,0,2022-07-06 15:42:45,23847,woonwijk,2022-07-07 19:04:37,21510,no_description_found,naar elkaar gooien van taartjes,21510.0
9174,"{'cafe': 0.03, 'klaslokaal': 0.03, 'fabriek': 0.15, 'kantoor': 0.22, 'etende_mensen': 0.44}",etende_mensen,"['cafe', 'klaslokaal', 'fabriek', 'kantoor', 'etende_mensen']",NL-HlmNHA_1478_30755K02_03,71433,41441,0,0,2022-07-06 14:21:30,22659,fabriek,2022-07-07 19:07:15,21510,no_description_found,met elkaar sprekende mensen via een Bakkie (zender),21510.0
9175,"{'cafe': 0.03, 'klaslokaal': 0.03, 'fabriek': 0.15, 'kantoor': 0.22, 'etende_mensen': 0.44}",etende_mensen,"['cafe', 'klaslokaal', 'fabriek', 'kantoor', 'etende_mensen']",NL-HlmNHA_1478_30755K02_03,71433,41441,0,0,2022-07-06 14:33:18,23655,kantoor,2022-07-07 19:07:15,21510,no_description_found,met elkaar sprekende mensen via een Bakkie (zender),21510.0
9210,"{'hardlopen': 0.02, 'mensenmassa': 0.03, 'wielrennen': 0.13, 'straat': 0.24, 'fietsende_mensen': 0.46}",fietsende_mensen,"['hardlopen', 'mensenmassa', 'wielrennen', 'straat', 'fietsende_mensen']",NL-HlmNHA_1478_31048K00_10,71446,41454,0,0,2022-07-06 14:42:45,22659,sport_overig,2022-07-07 19:23:51,21510,no_description_found,Rolstoelrace op de boulevard van Noordwijk. Bij de vuurtoren van Noordwijk.,21510.0
9211,"{'hardlopen': 0.02, 'mensenmassa': 0.03, 'wielrennen': 0.13, 'straat': 0.24, 'fietsende_mensen': 0.46}",fietsende_mensen,"['hardlopen', 'mensenmassa', 'wielrennen', 'straat', 'fietsende_mensen']",NL-HlmNHA_1478_31048K00_10,71446,41454,0,0,2022-07-06 16:03:34,13336,wielrennen,2022-07-07 19:23:51,21510,no_description_found,Rolstoelrace op de boulevard van Noordwijk. Bij de vuurtoren van Noordwijk.,21510.0
9230,"{'catwalk': 0.05, 'groepsportret': 0.09, 'klaslokaal': 0.12, 'winkel_binnen': 0.12, 'optocht': 0.13}",optocht,"['catwalk', 'groepsportret', 'klaslokaal', 'winkel_binnen', 'optocht']",NL-HlmNHA_1478_31175K00_15,71452,41460,0,0,2022-07-06 14:48:10,22659,groepsportret,2022-07-07 19:30:31,21510,no_description_found,Winnars van ets krijgen een spel uitgereikt in een bibliotheek.,21510.0
9231,"{'catwalk': 0.05, 'groepsportret': 0.09, 'klaslokaal': 0.12, 'winkel_binnen': 0.12, 'optocht': 0.13}",optocht,"['catwalk', 'groepsportret', 'klaslokaal', 'winkel_binnen', 'optocht']",NL-HlmNHA_1478_31175K00_15,71452,41460,0,0,2022-07-06 15:38:49,3203,winkel_binnen,2022-07-07 19:30:31,21510,no_description_found,Winnars van ets krijgen een spel uitgereikt in een bibliotheek.,21510.0
9264,"{'vergaderruimte': 0.01, 'sinterklaas': 0.01, 'klaslokaal': 0.01, 'woonkamer': 0.01, 'uitreiking_huldiging': 0.92}",uitreiking_huldiging,"['vergaderruimte', 'sinterklaas', 'klaslokaal', 'woonkamer', 'uitreiking_huldiging']",NL-HlmNHA_1478_31324K00_02,71466,41474,0,0,2022-07-06 15:00:46,22659,uitreiking_huldiging,2022-07-07 19:48:31,21510,no_description_found,installatie nieuwe burgemeester,21510.0
9265,"{'vergaderruimte': 0.01, 'sinterklaas': 0.01, 'klaslokaal': 0.01, 'woonkamer': 0.01, 'uitreiking_huldiging': 0.92}",uitreiking_huldiging,"['vergaderruimte', 'sinterklaas', 'klaslokaal', 'woonkamer', 'uitreiking_huldiging']",NL-HlmNHA_1478_31324K00_02,71466,41474,0,0,2022-07-06 15:20:50,3203,uitreiking_huldiging,2022-07-07 19:48:31,21510,no_description_found,installatie nieuwe burgemeester,21510.0
9272,"{'bos_park': 0.0, 'kantoor': 0.01, 'kunstwerk': 0.01, 'plattegrond': 0.03, 'borden_gevelsteen': 0.92}",borden_gevelsteen,"['bos_park', 'kantoor', 'kunstwerk', 'plattegrond', 'borden_gevelsteen']",NL-HlmNHA_1478_31462K00_34,71469,41477,0,0,2022-07-06 15:02:40,22659,kantoor,2022-07-07 19:50:21,21510,no_description_found,uitnodiging voor afscheid,21510.0
9273,"{'bos_park': 0.0, 'kantoor': 0.01, 'kunstwerk': 0.01, 'plattegrond': 0.03, 'borden_gevelsteen': 0.92}",borden_gevelsteen,"['bos_park', 'kantoor', 'kunstwerk', 'plattegrond', 'borden_gevelsteen']",NL-HlmNHA_1478_31462K00_34,71469,41477,0,0,2022-07-06 15:45:47,23847,no_description_found,2022-07-07 19:50:21,21510,no_description_found,uitnodiging voor afscheid,21510.0
9284,"{'standbeeld': 0.06, 'theater': 0.09, 'groepsportret': 0.1, 'mensenmassa': 0.14, 'optocht': 0.28}",optocht,"['standbeeld', 'theater', 'groepsportret', 'mensenmassa', 'optocht']",NL-HlmNHA_1478_31534K00_38,71473,41481,0,0,2022-07-06 15:03:46,22659,groepsportret,2022-07-07 19:54:15,21510,no_description_found,Draaiorgel bij ingebruikname school de Twickel,21510.0
9285,"{'standbeeld': 0.06, 'theater': 0.09, 'groepsportret': 0.1, 'mensenmassa': 0.14, 'optocht': 0.28}",optocht,"['standbeeld', 'theater', 'groepsportret', 'mensenmassa', 'optocht']",NL-HlmNHA_1478_31534K00_38,71473,41481,0,0,2022-07-06 15:31:53,13336,optocht,2022-07-07 19:54:15,21510,no_description_found,Draaiorgel bij ingebruikname school de Twickel,21510.0
9308,"{'aula': 0.01, 'uitreiking_huldiging': 0.01, 'muziek_optreden': 0.01, 'speech': 0.19, 'vergaderruimte': 0.77}",vergaderruimte,"['aula', 'uitreiking_huldiging', 'muziek_optreden', 'speech', 'vergaderruimte']",NL-HlmNHA_1478_31622K00_19,71479,41487,0,0,2022-07-06 15:05:53,22659,speech,2022-07-07 19:59:30,21510,no_description_found,persconferentie over mensenrechten manifestatie,21510.0
9309,"{'aula': 0.01, 'uitreiking_huldiging': 0.01, 'muziek_optreden': 0.01, 'speech': 0.19, 'vergaderruimte': 0.77}",vergaderruimte,"['aula', 'uitreiking_huldiging', 'muziek_optreden', 'speech', 'vergaderruimte']",NL-HlmNHA_1478_31622K00_19,71479,41487,0,0,2022-07-06 15:05:53,22659,speech,2022-07-07 19:59:30,21510,no_description_found,persconferentie omtrent mensenrechten manefitatie,21510.0
9310,"{'aula': 0.01, 'uitreiking_huldiging': 0.01, 'muziek_optreden': 0.01, 'speech': 0.19, 'vergaderruimte': 0.77}",vergaderruimte,"['aula', 'uitreiking_huldiging', 'muziek_optreden', 'speech', 'vergaderruimte']",NL-HlmNHA_1478_31622K00_19,71479,41487,0,0,2022-07-06 15:05:53,22659,speech,2022-07-07 19:59:30,21510,no_description_found,persconferentie over mensenrechten manifestatie,21510.0
9311,"{'aula': 0.01, 'uitreiking_huldiging': 0.01, 'muziek_optreden': 0.01, 'speech': 0.19, 'vergaderruimte': 0.77}",vergaderruimte,"['aula', 'uitreiking_huldiging', 'muziek_optreden', 'speech', 'vergaderruimte']",NL-HlmNHA_1478_31622K00_19,71479,41487,0,0,2022-07-06 16:02:37,13336,vergaderruimte,2022-07-07 19:59:30,21510,no_description_found,persconferentie over mensenrechten manifestatie,21510.0
9312,"{'aula': 0.01, 'uitreiking_huldiging': 0.01, 'muziek_optreden': 0.01, 'speech': 0.19, 'vergaderruimte': 0.77}",vergaderruimte,"['aula', 'uitreiking_huldiging', 'muziek_optreden', 'speech', 'vergaderruimte']",NL-HlmNHA_1478_31622K00_19,71479,41487,0,0,2022-07-06 16:02:37,13336,vergaderruimte,2022-07-07 19:59:30,21510,no_description_found,persconferentie omtrent mensenrechten manefitatie,21510.0
9313,"{'aula': 0.01, 'uitreiking_huldiging': 0.01, 'muziek_optreden': 0.01, 'speech': 0.19, 'vergaderruimte': 0.77}",vergaderruimte,"['aula', 'uitreiking_huldiging', 'muziek_optreden', 'speech', 'vergaderruimte']",NL-HlmNHA_1478_31622K00_19,71479,41487,0,0,2022-07-06 16:02:37,13336,vergaderruimte,2022-07-07 19:59:30,21510,no_description_found,persconferentie over mensenrechten manifestatie,21510.0
9318,"{'keuken': 0.01, 'borden_gevelsteen': 0.02, 'standbeeld': 0.02, 'tentoonstelling': 0.03, 'kunstwerk': 0.87}",kunstwerk,"['keuken', 'borden_gevelsteen', 'standbeeld', 'tentoonstelling', 'kunstwerk']",NL-HlmNHA_1478_31689K01_39,71482,41490,0,0,2022-07-06 15:08:21,22659,tentoonstelling,2022-07-07 20:02:00,21510,no_description_found,televisie,21510.0
9319,"{'keuken': 0.01, 'borden_gevelsteen': 0.02, 'standbeeld': 0.02, 'tentoonstelling': 0.03, 'kunstwerk': 0.87}",kunstwerk,"['keuken', 'borden_gevelsteen', 'standbeeld', 'tentoonstelling', 'kunstwerk']",NL-HlmNHA_1478_31689K01_39,71482,41490,0,0,2022-07-06 15:41:02,3203,no_description_found,2022-07-07 20:02:00,21510,no_description_found,televisie,21510.0
9320,"{'portret': 0.05, 'demonstratie': 0.07, 'sport_overig': 0.13, 'kunstwerk': 0.15, 'borden_gevelsteen': 0.4}",borden_gevelsteen,"['portret', 'demonstratie', 'sport_overig', 'kunstwerk', 'borden_gevelsteen']",NL-HlmNHA_1478_31689K01_06,71481,41489,0,0,2022-07-06 15:08:01,22659,no_description_found,2022-07-07 20:01:10,21510,no_description_found,foto van televisie met reclame voor BP,21510.0
9321,"{'portret': 0.05, 'demonstratie': 0.07, 'sport_overig': 0.13, 'kunstwerk': 0.15, 'borden_gevelsteen': 0.4}",borden_gevelsteen,"['portret', 'demonstratie', 'sport_overig', 'kunstwerk', 'borden_gevelsteen']",NL-HlmNHA_1478_31689K01_06,71481,41489,0,0,2022-07-06 20:23:45,3203,vlag_hijsen,2022-07-07 20:01:10,21510,no_description_found,foto van televisie met reclame voor BP,21510.0
9322,"{'visserij': 0.05, 'keuken': 0.08, 'slagerij': 0.09, 'markt': 0.13, 'winkel_binnen': 0.32}",winkel_binnen,"['visserij', 'keuken', 'slagerij', 'markt', 'winkel_binnen']",NL-HlmNHA_1478_31697K00_22,71483,41491,0,0,2022-07-06 15:08:51,22659,markt,2022-07-07 20:02:45,21510,no_description_found,Oliebollenkraam,21510.0
9323,"{'visserij': 0.05, 'keuken': 0.08, 'slagerij': 0.09, 'markt': 0.13, 'winkel_binnen': 0.32}",winkel_binnen,"['visserij', 'keuken', 'slagerij', 'markt', 'winkel_binnen']",NL-HlmNHA_1478_31697K00_22,71483,41491,0,0,2022-07-06 16:07:43,13336,markt,2022-07-07 20:02:45,21510,no_description_found,Oliebollenkraam,21510.0
